ID,0,0.02,0.04,0.06,0.08,0.1,0.12,0.14,0.16,0.18,0.2,0.22,0.24,0.26,0.28,0.3,0.32,0.34,0.36,0.38,0.4,0.42,0.44,0.46,0.48,0.5,0.52,0.54,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7,0.72,0.74,0.76,0.78,0.8,0.82,0.84,0.86,0.88,0.9,0.92,0.94,0.96,0.98,1
2018_1104_1112,0.045652,0.002173,0.006521,0,0.006521,0.010869,0.004347,0.010869,0.015217,0.017391,0.036956,0.063043,0.058695,0.030434,0.069565,0.08913,0.065217,0.071739,0.052173,0.043478,0.030434,0.054347,0.030434,0.019565,0.019565,0.034782,0.004347,0.006521,0.004347,0.010869,0.004347,0.008695,0.002173,0.002173,0,0,0.002173,0.002173,0.008695,0,0.002173,0.002173,0,0.002173,0,0.002173,0,0,0.002173,0.004347,0.03913
2018_1104_1113,0.006521,0,0,0.002173,0,0.002173,0.002173,0,0.002173,0.002173,0.002173,0.013043,0.004347,0.010869,0.004347,0.006521,0.013043,0.034782,0.017391,0.021739,0.019565,0.043478,0.05,0.069565,0.07826,0.095652,0.063043,0.071739,0.106521,0.102173,0.03913,0.023913,0.004347,0.015217,0.006521,0.008695,0.006521,0.008695,0.004347,0.002173,0.002173,0.002173,0.006521,0.002173,0,0.002173,0.002173,0,0.002173,0.008695,0.006521
2018_1104_1116,0.013043,0,0,0.004347,0.002173,0.006521,0.002173,0.004347,0.002173,0.002173,0.004347,0.004347,0.017391,0.013043,0.008695,0.021739,0.030434,0.026086,0.03913,0.065217,0.084782,0.171739,0.117391,0.108695,0.067391,0.056521,0.034782,0.013043,0.008695,0.008695,0.004347,0.013043,0.008695,0.006521,0.004347,0.002173,0,0.004347,0.004347,0,0.004347,0,0.002173,0,0,0,0,0,0.004347,0,0.002173
2018_1104_1120,0.010869,0.002173,0.006521,0.002173,0.008695,0.006521,0.010869,0.004347,0.021739,0.008695,0.021739,0.017391,0.030434,0.043478,0.052173,0.07826,0.07826,0.056521,0.065217,0.069565,0.043478,0.047826,0.045652,0.041304,0.02826,0.043478,0.015217,0.013043,0.021739,0.015217,0.015217,0.013043,0.010869,0.004347,0.002173,0.002173,0.013043,0.004347,0.004347,0,0,0.006521,0,0,0.006521,0.002173,0,0,0.002173,0,0.002173
2018_1104_1137,0.004347,0,0.002173,0.002173,0,0,0.006521,0,0.004347,0.002173,0.002173,0.006521,0.004347,0.002173,0.004347,0.008695,0.010869,0.010869,0.004347,0.006521,0.015217,0.010869,0.015217,0.023913,0.017391,0.043478,0.015217,0.032608,0.034782,0.03913,0.052173,0.045652,0.041304,0.073913,0.041304,0.093478,0.058695,0.05,0.036956,0.045652,0.045652,0.017391,0.004347,0.010869,0.015217,0.013043,0.004347,0.004347,0.002173,0.004347,0.008695
2018_1104_1138,0.043478,0.002173,0.004347,0.004347,0,0.002173,0.002173,0,0.004347,0,0.004347,0,0.008695,0.010869,0.004347,0.004347,0.008695,0.015217,0.015217,0.017391,0.013043,0.019565,0.017391,0.019565,0.02826,0.036956,0.023913,0.054347,0.045652,0.05,0.05,0.067391,0.067391,0.1,0.02826,0.02826,0.019565,0.036956,0.021739,0.008695,0.019565,0.006521,0.006521,0.006521,0.013043,0.006521,0.002173,0,0.002173,0.008695,0.03913
2018_1104_1139,0.008695,0,0,0,0.004347,0,0.004347,0.002173,0.002173,0.008695,0.008695,0.006521,0.006521,0.021739,0.026086,0.021739,0.03913,0.030434,0.058695,0.056521,0.073913,0.073913,0.07826,0.071739,0.058695,0.054347,0.05,0.084782,0.036956,0.019565,0.015217,0.013043,0.006521,0.004347,0.006521,0.006521,0.006521,0.004347,0.004347,0.002173,0.004347,0.002173,0,0,0,0.002173,0,0,0.002173,0.006521,0.004347
2018_1104_1153,0.05,0.013043,0.006521,0.010869,0.026086,0.034782,0.023913,0.034782,0.058695,0.045652,0.067391,0.084782,0.08913,0.047826,0.041304,0.03913,0.03913,0.032608,0.021739,0.02826,0.013043,0.017391,0.023913,0.008695,0.015217,0.023913,0.002173,0.008695,0.004347,0,0.008695,0.002173,0,0.004347,0.006521,0,0,0.002173,0.006521,0.002173,0,0,0,0,0.002173,0.002173,0.002173,0.004347,0.002173,0.002173,0.03913
2018_1104_1155,0.010869,0.004347,0,0.002173,0,0.002173,0,0,0.008695,0.006521,0.008695,0.010869,0.034782,0.030434,0.047826,0.045652,0.056521,0.1,0.07826,0.110869,0.1,0.060869,0.060869,0.026086,0.030434,0.03913,0.026086,0.010869,0.010869,0.006521,0.006521,0.013043,0.013043,0.006521,0,0.002173,0.002173,0.002173,0.004347,0.004347,0.004347,0,0,0.002173,0.002173,0.002173,0,0,0.002173,0,0.002173
