part_0,part_1,part_2,part_3,part_4,part_5,part_6,part_7,part_8,part_9
7.960458,21.270798,8.168574,3.1083937,19.842285,29.477642,9.353013,7.236885,0.1606792,15.428133
17.824167,21.425669,19.786049,0.003754502,5.6928196,2.0504642,2.7197988,20.168644,0.31385306,10.815513
15.596081,0.013112151,16.31522,0.1531327,12.299427,3.3632221,8.04e-05,3.69e-05,8.095875,0.57176316
2.24e-05,10.11811,2.54e-05,62.702343,0.07530687,4.2626753,7.949256,14.760203,15.556217,0.020808225
10.713301,0.15521048,13.634687,5.942722,10.973489,1.6128683,15.298093,1.6735164,1.3e-13,1.691702
13.344304,17.06334,13.845163,0.001161507,2.3378594,0.001224675,4.53e-05,7.4419084,14.572733,2.0660691
0.05730665,5.081909,0.08209083,5.043354,26.941654,0.009617167,9.521332,16.893246,10.435916,1.8213687
0.24917886,0.07002304,0.26975366,0.1270576,0.5307931,11.715594,23.515402,0.15029584,0.55200136,5.2551303
5.558837,9.222398,6.179113,23.656126,6.24e-08,29.509207,15.390086,0.2999008,0.018999185,9.45218
13.941612,2.1060553,14.141799,0.78781337,1.4221588,1.5270413,19.753592,7.4819655,1.640193,14.0243635
8.245702,25.864761,3.55e-14,10.781985,1.345944,0.10768933,6.837879,15.19159,2.0568993,16.253645
0.45458066,0.48689717,9.718864,18.37557,8.200929,11.755464,19.43891,1.21e-13,1.7800422,12.692179
0.012242619,4.32e-08,0.51776737,0.5662575,4.032977,9.575043,3.61e-05,13.681411,5.2271013,2.6316304
1.2087207,1.1469711,0.013873884,21.866673,20.581911,2.6629121,13.460519,9.28516,8.660744,33.469475
1.9277699,1.2011318,1.1893685,22.341208,28.898008,7.05e-05,1.608781,0.5317079,13.171413,0.001954167
8.136875,3.6283948,1.9073257,2.9684296,1.9813309,7.7567253,7.524801,0.018064994,15.421279,1.424368
10.433594,27.629251,9.06877,0.01366026,3.0228117,14.885354,16.156267,1.5807124,12.220085,1.8946868
24.64607,1.8097234,11.816231,11.691916,4.0122933,2.39e-05,0.14048748,2.0005274,2.5535872,1.2298172
1.1213496,1.5979998,9.984628,0.14792787,1.6153818,9.287201,0.2922174,1.7477174,31.802702,2.008688
1.7552589,2.8819523,2.4245727,2.9694653,0.001204056,22.882727,7.163187,4.7466483,0.001783669,0.13546087
0.8529712,1.5045458,26.697483,19.096006,0.009181607,14.721575,14.837688,8.317707,1.379006,4.739714
1.5619303,0.001115613,1.1757838,5.505762,11.010399,19.130451,1.14e-13,12.820089,1.9033202,1.2041636
0.04152889,0.008293063,1.7840726,11.784022,28.164095,6.361484,13.220297,14.645139,1.122305,0.17493074
2.5274868,9.409682,0.9182118,0.072338484,1.4712318,18.92759,8.909552,11.771285,1.965001,76.81077
0.000277684,24.484846,1.6530848,10.532471,0.09809825,3.42e-05,0.52666956,2.6053047,0.12691697,8.795864
0.14143422,1.4819188,0.054517213,2.2145395,11.299505,13.499223,0.016990086,30.742025,4.5980954,0.001706539
59.059853,10.965511,2.7421696,26.81786,2.5581715,1.5168984,1.5285902,0.001731208,1.155253,6.4002113
5.073161,2.33197,0.001796458,0.51106936,6.5e-05,15.526617,2.0044358,1.340902,0.16788736,0.18629903
0.000886867,5.57e-05,0.1475061,5.36e-08,7.464877,0.13074982,1.6934338,1.859722,74.14461,34.760727
4.1478357,6.489555,62.75891,1.3866049,14.449685,0.28072482,4.679927,1.1071537,8.0724325,8.506931
0.11311686,13.708283,5.568659,1.301373,1.38e-05,6.799389,12.543429,1.9099767,0.001524068,0.9265663
18.972569,4.6e-06,0.00110438,3.9494917,8.975026,14.299089,13.810181,0.1119469,6.107558,14.633225
0.74124426,8.116546,4.76182,20.502136,22.00798,7.41e-14,11.431191,4.375294,0.17686138,23.049246
17.089058,19.264227,0.12454989,28.846485,13.962337,12.240426,2.4809582,1.0278101,32.671284,0.6977566
21.30924,15.972138,22.790016,1.9038622,18.349127,8.455499,30.165066,0.16513477,8.116073,23.733105
20.900784,2.55e-05,0.7885965,2.6621397,6.138362,0.5264802,0.001613171,71.04996,0.892816,25.461266
0.012904548,12.914791,17.82368,3.5439863,18.424543,0.016286874,1.3064264,7.4601626,15.101968,3.517938
9.942806,13.623354,21.955091,1.611791,3.07e-05,1.5546423,1.8215196,0.0014363,22.020405,0.017793316
0.15543805,0.06496818,21.864508,0.001234246,14.110748,1.9548285,1.0917256,5.818477,0.66209686,12.9654255
16.843094,0.26207075,2.9132075,0.009007382,1.5336043,1.6369678,1.8862438,0.15415712,23.35636,0.21142307
4.9921646,6.12136,0.013348191,10.484819,14.989983,4.6713963,0.09193814,30.555565,24.883032,4.257922
0.06588596,13.870116,11.239899,27.23419,0.12069788,11.487534,4.401002,7.6639023,3.5068443,26.952553
9.027832,9.159664,0.14861062,1.5306036,0.27737322,13.210022,0.890034,0.87369496,0.016870655,7.984086
2.0720649,0.47685513,18.045101,11.280742,6.6470485,11.170298,0.15940697,15.946557,12.44816,15.45628
25.706968,0.013096044,5.320867,2.5133924,14.198996,2.3814435,67.19355,21.044094,0.20709902,0.11504804
0.41092739,1.1805539,11.666884,6.22e-05,5.41e-14,29.727978,6.9449387,0.6435707,4.3447967,14.832363
4.08e-08,1.877862,0.07172396,7.1247573,11.311957,0.001495134,0.001401842,22.93348,25.077349,3.0536258
1.128957,8.637221,9.948774,14.224208,8.375723,1.3046123,5.6678677,23.991587,7.2327766,29.749842
1.1828101,11.253644,2.1256943,8.81e-06,0.5200403,1.7870942,0.14501609,3.4535944,14.8344755,5.5047045
27.519175,9.31764,26.185856,8.688866,0.015687888,1.0775429,29.031466,0.01606677,0.0991801,0.5930313
1.7724596,2.3175898,0.504163,21.564861,1.5438063,1.851778,0.8751959,12.290937,13.963306,1.06e-07
1.4769539,25.928204,4.88e-08,17.965654,1.9265673,0.079785384,14.525132,0.21574712,2.9156933,2.3081074
2.8588173,1.1394947,1.2817206,17.686258,1.6076436,4.2629914,20.572083,3.7703047,29.189508,0.021271788
1.487669,1.7813747,1.258035,2.87e-05,4.633923,0.38892773,0.61983794,24.18984,0.5650433,2.0502744
0.001025752,0.8802989,3.7504117,13.78486,10.901286,0.15831403,23.027666,6.790244,9.91e-08,2.4438736
0.008153684,1.6036683,19.943712,1.4684511,12.851244,65.74938,23.444328,14.670483,1.9011893,11.334398
9.210914,0.04827607,28.357016,14.439038,10.953663,6.6343927,3.3754454,0.087185875,0.021040345,4.7051396
24.041191,2.663693,1.856793,0.10340081,2.3483965,0.001373288,0.015543422,12.620806,1.8314704,23.48239
1.4534473,0.000730532,2.0562966,0.27686688,29.203468,5.596384,11.938757,2.7676296,2.4319913,12.175859
10.21121,0.14695963,3.3127792,6.379657,0.001632644,0.13689971,0.22553311,28.31643,10.456922,7.021351
